2022-08-21 10:59:54.177  INFO [ProcessPensionService,,] 6948 --- [restartedMain] .c.ProcessPensionMicroserviceApplication : Starting ProcessPensionMicroserviceApplication using Java 15.0.2 on LAPTOP-PDMVOPJG with PID 6948 (C:\Users\hp\Desktop\PensionManagementSystem-master\process-pension-microservice\target\classes started by hp in C:\Users\hp\Desktop\PensionManagementSystem-master\process-pension-microservice)
2022-08-21 11:00:30.447  INFO [ProcessPensionService,,] 6948 --- [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-08-21 11:00:30.474  INFO [ProcessPensionService,,] 6948 --- [restartedMain] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-08-21 11:00:30.654  WARN [ProcessPensionService,,] 6948 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : Unable to start LiveReload server
2022-08-21 11:00:31.676  WARN [ProcessPensionService,,] 6948 --- [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-08-21 11:00:38.781  INFO [ProcessPensionService,,] 6948 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 9099 (http) with context path '/process'
2022-08-21 11:00:39.747  INFO [ProcessPensionService,,] 6948 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Context refreshed
2022-08-21 11:00:39.833  INFO [ProcessPensionService,,] 6948 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2022-08-21 11:00:39.863  INFO [ProcessPensionService,,] 6948 --- [restartedMain] s.d.s.w.s.ApiListingReferenceScanner     : Scanning for api listing references
2022-08-21 11:00:40.385  INFO [ProcessPensionService,,] 6948 --- [restartedMain] .c.ProcessPensionMicroserviceApplication : Started ProcessPensionMicroserviceApplication in 51.078 seconds (JVM running for 56.209)
2022-08-21 11:08:22.802  INFO [ProcessPensionService,,] 6948 --- [http-nio-9099-exec-1] o.a.c.c.C.[.[localhost].[/process]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-08-21 11:08:22.803  INFO [ProcessPensionService,,] 6948 --- [http-nio-9099-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2022-08-21 11:08:22.805  INFO [ProcessPensionService,,] 6948 --- [http-nio-9099-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 2 ms
2022-08-21 11:08:22.836  INFO [ProcessPensionService,9feb6c8b3e3cf206,e9a600b0d1e9185c] 6948 --- [http-nio-9099-exec-1] c.c.controller.ProcessPensionController  : STARTED - allDetail
2022-08-21 11:08:23.990  INFO [ProcessPensionService,9feb6c8b3e3cf206,e9a600b0d1e9185c] 6948 --- [http-nio-9099-exec-1] c.c.controller.ProcessPensionController  : END - allDetail
2022-08-21 11:09:10.278  INFO [ProcessPensionService,b9340c0fe73753d6,f8ea5b4eeed96485] 6948 --- [http-nio-9099-exec-4] c.c.controller.ProcessPensionController  : STARTED - allDetail
2022-08-21 11:09:10.878  INFO [ProcessPensionService,b9340c0fe73753d6,f8ea5b4eeed96485] 6948 --- [http-nio-9099-exec-4] c.c.service.ProcessPensionService        : STARTED - getPensionDetail
2022-08-21 11:09:10.878  INFO [ProcessPensionService,b9340c0fe73753d6,f8ea5b4eeed96485] 6948 --- [http-nio-9099-exec-4] c.c.service.ProcessPensionService        : END - getPensionDetail
2022-08-21 11:09:10.879  INFO [ProcessPensionService,b9340c0fe73753d6,f8ea5b4eeed96485] 6948 --- [http-nio-9099-exec-4] c.c.controller.ProcessPensionController  : END - allDetail
2022-08-21 11:09:10.880  INFO [ProcessPensionService,b9340c0fe73753d6,f8ea5b4eeed96485] 6948 --- [http-nio-9099-exec-4] c.c.service.ProcessPensionService        : STARTED - savePensionDetail
2022-08-21 11:09:10.880  INFO [ProcessPensionService,b9340c0fe73753d6,f8ea5b4eeed96485] 6948 --- [http-nio-9099-exec-4] c.c.service.ProcessPensionService        : END - savePensionDetail
